,H3K9me3,H3K79me2,H3K4me3,H3K27ac,H4K20me1,H3K27me3,H3K36me3,H3K4me2,H3K4me1
20-18571000-21104000,5.95235446222657,3.61055643027034,2.71334585595554,2.61722528742718,3.11511745403406,4.21109332575165,3.53700636628337,3.36058661705623,2.88600460926042
20-21372000-25174000,5.57614971438315,2.89141893138625,2.52254063301967,2.89772556036918,2.90927074292257,4.65188977216268,2.51367397356966,3.04579894118835,2.6795855693525
20-25390000-26319000,5.06778624716186,4.62904512335421,5.09158973736884,4.5551044441329,4.92025305778153,5.8814119181544,5.72680676252173,5.68172153341884,3.84160614261439
20-29419000-30101000,12.0655928266122,7.42185719711356,5.54894732635281,4.03280924634636,8.47226269227704,9.98847828465157,7.91072728379283,8.27521061445318,5.11699231080534
20-37677000-39594000,7.73612933730996,2.95771528656223,3.02379163697386,2.88495452725505,4.28648016228712,7.16401480526876,3.83501479618891,4.11980603246522,3.55876855309777
20-40209000-42072000,9.68515635244868,3.96345889289224,2.95018553824692,2.14730714133317,4.06476723010234,6.33571963447138,3.68802097850803,3.64850087403806,2.31401785470529
20-52976000-54931000,8.86547003781635,2.65233285430781,2.51516758901535,1.93737662076591,3.65863069211902,5.82286953672352,3.81120428740746,3.53763071226737,2.53191922306151
20-57871000-60470000,5.07950497866287,2.90953718043108,3.04758729000428,2.29215853479238,4.81064980526341,12.0727759672687,3.43487691428882,3.6420874680526,2.35351261026697
20-7162000-8830000,4.82672105263158,1.99446763259338,1.78117598978289,1.71201805030194,2.40981732034746,2.944005716116,2.54974455710131,2.42754473588463,1.90316789027124
20-9376000-9945000,3.79395675372086,1.93308308895406,1.6968071950534,1.42198552607163,2.6389898989899,4.34582456140351,2.30515161502966,2.35015738963532,1.85164243403339
2-100108000-101333000,4.61963025744253,2.59775661622948,2.93494285368119,2.80930887415857,3.84956337223537,9.18692290422523,3.34611384062313,3.68549577121796,3.05516852514202
2-102462000-105908000,8.01797641452423,2.77074143029241,2.68741691589099,2.91672183662573,3.32921485338449,5.13301508660831,3.96084626807983,3.5335842824878,2.88753479000063
2-106145000-109059000,8.93699311353526,2.4614243198557,2.20718098789323,1.77776913021008,2.98056785671355,4.50970582738384,2.90657572180199,2.80011821075088,2.04675394856427
2-113649000-120060000,9.36893326826477,2.65145767343643,2.66362017518529,3.05428372571567,2.68960443500706,3.25882784125993,3.07252470249079,3.11297212695535,2.65136867803613
21-14338000-16341000,11.3809295968937,2.98981051344743,3.01341747013037,2.79841304347826,3.06490544302582,3.9937929312743,3.8313246102753,3.80852190931826,2.96791366503153
21-16855000-16972000,5.44652329749104,2.42158964879852,2.26352692713833,1.93962596259626,3.28524396254312,3.79195556854721,3.95052918712493,3.56530401034929,2.71511610486891
21-18049000-18756000,5.39473905061631,2.22960113960114,1.99327204768158,1.84628529339553,2.91090052545751,5.18925088032415,3.68048294721635,3.18287638767619,2.93086519114688
21-18986000-27305000,8.9431369938262,2.41697672705072,2.32544334232456,2.35643508801097,2.62532030600214,3.381583081571,3.66279711238013,3.3294791366605,2.51526037330469
2-122534000-127800000,8.712059493743,1.85094529132039,1.68855108418984,1.41816659879643,2.4140419266634,3.14845325276399,2.2826802680268,2.18351912717977,1.60596152548093
21-27504000-28118000,5.51005480953686,6.61290995892084,3.65068952234207,3.17621507396102,3.59540142689425,6.93577193146709,3.80661516452074,4.21742203468056,3.35800747198007
21-28878000-30250000,6.32082662102296,2.32095965103599,2.24696650357546,2.62555784273364,2.90900202897183,3.50813047433398,3.85037211425277,3.67011193700972,3.44580194474673
21-30869000-32990000,7.94119789842382,2.39406906292978,2.09762880411487,1.87837555107226,3.20964357273882,6.0318853761278,3.34420869927448,2.96336135146271,2.21237569670548
21-33121000-33630000,4.51406753812636,2.46516324062878,2.29372533386486,1.76190709046455,3.91949902152642,10.0663437998936,2.80772784810127,2.96105004657465,2.26476843910806
21-35360000-35705000,6.57542637580565,6.92994024819979,3.23366314923941,2.31012799474893,3.87529846503695,6.23503758068795,5.05654446252513,4.0331101302616,3.03155770782889
21-40856000-42477000,4.91447826383676,2.40108716402914,2.25506415995225,1.71140073529412,3.34382923772266,5.45342760625344,2.86936426779857,2.80687398786814,1.89926013660231
21-42678000-42831000,4.4215207780725,2.73053033922599,3.57690958572725,3.78311901504788,3.41272463768116,7.04838014621008,3.65106342393896,4.65134515119917,4.13047241694605
21-10200000-11188000,17.3757284824704,13.0053795343801,8.70792070078377,6.31757575757576,12.7177081485861,12.3576636336953,10.8202114860068,12.3074806994116,7.08365091124611
22-16050000-18054000,10.913397266605,4.31748690235551,3.33686860417519,3.2392784626541,3.89299899975856,5.2815204150688,3.61888394681797,4.1538352816153,2.70603265717721
22-25850000-26850000,4.29182479224377,2.31663359059169,1.95897397952892,2.15645068516325,3.36111580531281,7.14383349629837,2.35396204548747,2.59623890820404,2.2711206037306
22-33210000-35657000,6.67942657129813,2.12550724637681,1.9985772437607,1.71893874303898,2.78606183840679,4.55553505951374,2.29031018192783,2.49634818057582,1.93401006194599
22-47406000-50124000,5.87049357168017,2.1807878124737,1.89519579303221,1.64967537026512,3.2931510725696,7.57119855913213,2.15245233453053,2.28403444357024,1.79693330292268
2-75130000-85009000,9.14767860993147,2.51480537632661,2.28731075262957,2.14890563667766,2.92777810939874,3.90191079884463,3.75604643970379,3.37249581067679,2.75202693444097
2-87966000-88863000,4.62010582010582,2.47786055995608,2.97032551460029,3.27744742357447,3.26145050163181,6.91436396298682,3.83661820226524,3.79518550396376,3.14102137232846
2-88993000-92326000,20.1931451398136,15.1757670151483,10.6316537737821,11.956262755102,16.1510004488234,14.9698117179277,13.7066953042454,15.7772945591688,11.0805925370336
2-95326000-96708000,7.64860333044566,3.26146042096179,4.24229871251079,3.18458238851096,3.73437063662128,7.93632217451119,4.37668980868091,4.33038071368898,2.90569390603194
3-101929000-104500000,6.10766240455702,2.11157721718002,2.02359735461235,2.34176259913021,2.58943660716937,2.87545273537499,3.68081326013292,3.31591914908171,3.00625018215126
3-105100000-105397000,4.87232587064677,3.07717811600165,2.07222518806115,2.6106133960047,2.78541799908634,2.79914845302299,5.02469675311415,3.34485277463194,3.22581771170006
3-107489000-111383000,5.63884821010619,2.62518948974686,2.46032768539404,2.45857520838721,2.99298958090609,4.53967104188225,3.85683245715535,3.47906246510485,3.12216449378551
3-114876000-119492000,5.89717247156964,2.57752187510981,2.64279128923307,3.04468215076861,3.08594335132783,4.72667711013064,3.82366103959665,3.613880519086,3.01948912903188
